Num1,Num2,Num3,Num4,Num5,Score
9,12,27,29,38,129
9,12,27,35,38,129
9,12,29,38,40,129
9,12,30,38,39,129
9,12,32,38,39,129
9,12,35,38,40,129
10,12,21,29,38,129
10,12,21,35,38,129
10,12,27,29,38,129
10,12,27,35,38,129
11,12,14,29,30,129
11,12,14,29,32,129
11,12,14,30,35,129
11,12,14,32,35,129
11,12,18,38,39,129
11,12,19,22,38,129
11,12,19,30,32,129
11,12,19,36,38,129
11,12,21,38,39,129
11,12,27,38,39,129
11,12,29,30,35,129
11,12,29,32,35,129
11,14,29,30,38,129
11,14,29,32,38,129
11,14,30,35,38,129
11,14,32,35,38,129
11,19,30,32,38,129
12,14,19,21,38,129
12,14,19,27,38,129
12,14,29,38,39,129
12,14,35,38,39,129
12,18,19,29,38,129
12,18,19,35,38,129
12,18,21,27,38,129
12,19,21,29,38,129
12,19,21,35,38,129
12,19,27,29,38,129
12,19,27,35,38,129
12,19,29,38,40,129
12,19,30,38,39,129
12,19,32,38,39,129
12,21,22,29,38,129
12,21,22,35,38,129
12,21,27,38,40,129
12,21,29,30,32,129
12,21,29,36,38,129
12,21,30,32,35,129
12,22,27,29,38,129
12,22,27,35,38,129
12,27,29,30,32,129
12,27,30,32,35,129
3,4,11,30,38,128
3,4,11,32,38,128
3,4,12,38,39,128
3,5,12,22,38,128
3,5,12,30,32,128
3,5,12,36,38,128
3,5,30,32,38,128
3,8,12,29,38,128
3,8,12,35,38,128
3,9,11,30,38,128
3,9,11,32,38,128
3,9,12,38,39,128
3,10,11,30,38,128
3,10,11,32,38,128
3,10,12,38,39,128
3,11,12,16,38,128
