Date,Number1,Number2,Number3,Number4,Number5
"03
15
27
58
59
20",5,1,"$214,000,000",0*,$0
"08
10
30
44
58
13",5,1,"$185,000,000",0*,$0
"32
42
50
54
55
32",5,1,"$168,000,000",0*,$0
"32
34
45
52
58
20",5,1,"$143,000,000",0*,$0
"04
07
09
30
54
25",5,1,"$124,000,000",0*,$0
"01
27
31
45
48
05",5,1,"$110,000,000",0*,$0
"22
32
34
36
56
33",5,1,"$100,000,000",0*,$0
"03
18
21
23
50
04",5,1,"$90,000,000",0*,$0
"04
21
28
31
44
10",5,1,"$80,000,000",0*,$0
"01
07
10
23
42
35",5,1,"$70,000,000",0*,$0
"02
05
25
26
49
18",5,1,"$60,000,000",0*,$0
"18
26
29
35
43
28",5,1,"$50,000,000",0*,$0
"15
26
34
36
59
35",5,1,"$40,000,000",0*,$0
"17
23
36
55
59
10",5,1,"$50,000,000",1*,"$50,000,000"
"14
18
28
29
57
08",5,1,"$40,000,000",0*,$0
"13
26
39
41
42
10",5,1,"$200,000,000",1*,"$200,000,000"
"02
16
18
40
42
33",5,1,"$174,000,000",0*,$0
"01
05
08
39
50
23",5,1,"$149,000,000",0*,$0
"03
20
26
43
48
01",5,1,"$125,000,000",0*,$0
"24
33
36
48
56
06",5,1,"$110,000,000",0*,$0
"06
20
34
44
48
29",5,1,"$100,000,000",0*,$0
"04
19
26
42
51
29",5,1,"$90,000,000",0*,$0
"08
11
21
44
49
22",5,1,"$80,000,000",0*,$0
"25
28
49
54
56
28",5,1,"$70,000,000",0*,$0
"01
06
07
20
49
23",5,1,"$60,000,000",0*,$0
"22
29
31
47
55
19",5,1,"$50,000,000",0*,$0
"14
26
41
55
59
01",5,1,"$40,000,000",0*,$0
"06
27
46
51
56
21",5,1,"$320,000,000",1*,"$320,000,000"
"04
13
39
46
51
01",5,1,"$253,000,000",0*,$0
"03
07
11
15
28
12",5,1,"$212,000,000",0*,$0
"19
30
48
53
55
18",5,1,"$181,000,000",0*,$0
"03
16
48
56
58
04",5,1,"$158,000,000",0*,$0
"05
06
13
36
50
13",5,1,"$139,000,000",0*,$0
"03
14
35
38
46
16",5,1,"$121,000,000",0*,$0
"09
31
38
54
56
20",5,1,"$110,000,000",0*,$0
"02
05
20
23
57
03",5,1,"$100,000,000",0*,$0
"04
16
32
37
46
13",5,1,"$90,000,000",0*,$0
"05
22
36
49
55
23",5,1,"$80,000,000",0*,$0
"03
05
29
39
59
29",5,1,"$70,000,000",0*,$0
"14
19
35
39
56
33",5,1,"$60,000,000",0*,$0
